MW12VK_SBA1M300000D_EBOM_V01,,,,,,,,,,
,,,,,,,,,,
PCBA:  ,SBA1M300000D,ICS:,01,eBOM Ver:,1,,,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort,,
104,ABA12FAJACCX,ABA12FAJACC2,C0201C0G1R2A500N,EYANG,"普通电容,Capacitor,1.2 pF,±0.05 pF,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G1R2A500N,EYANG",2,"C4539,C4541",Capacitor,,1
105,ABA18FCJA0CX,ABA18FCJA0C2,C0201C0G1R8C500N,EYANG,"电容,Capacitor,1.8 pF,±0.25 pF,50 V,C0G,0201,N/A,C0201C0G1R8C500N,EYANG",3,"C4260,C4329,L4325",Capacitor,,
106,ABA020BJA0CX,ABA020BJA0C2,C0201C0G2R0B500N,EYANG,"电容,Capacitor,2 pF,±0.1 pF,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G2R0B500N,EYANG",1,R4602,,,1
107,ABA030AJA0CX,ABA030AJA0C2,C0201C0G3R0A500N,EYANG,"普通电容,Capacitor,3 pF,±0.05 pF,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G3R0A500N,EYANG",3,"C4623,C4634,C4442",Capacitor,,
108,ABA33FBJACCX,ABA33FBJACC2,C0201C0G3R3B500NT,EYANG,"普通电容,Capacitor,3.3 pF,±0.1 pF,50 V,C0G,0201,N/A,C0201C0G3R3B500NT,EYANG",4,"C1402,C1403,C1404,C1405",Capacitor,,
109,ABA100KJACC2X,ABA100KJACC2,C0201C0G100K500NTA,EYANG,"普通电容,Capacitor,10 pF,±10 %,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G100K500NTA,EYANG",2,"C4603,C4613",Capacitor,,
110,ABA150JJA0CX,ABA150JJA0C2,C0201C0G150J500N,EYANG,"电容,Capacitor,15 pF,±5 %,50 V,C0G,0201,N/A,C0201C0G150J500N,EYANG",1,C3422,,,
111,ABA220KJACCX,ABA220KJACC2,C0201C0G220K500NTA,EYANG,"普通电容,Capacitor,22 pF,±10 %,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G220K500NTA,EYANG",24,"C3401,C3420,C4227,C4228,C4231,C4232,C4235,C4237,C4238,C4258,C4316,C4336,C4339,C4401,C4405,C4406,C4410,C4424,C4428,C4440,C4702,C3405,C3406,C4126",Capacitor,,6
112,ABA270JJA0CX,ABA270JJA0C2,C0201C0G270J500N,EYANG,"普通电容,Capacitor,27 pF,±5 %,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G270J500N,EYANG",12,"C4202,C4216,C4239,C4261,C4262,C4267,C4358,C4213,C4312,C4254,C4255,C4257",Capacitor,,1
113,ABA330KJACCX,ABA330KJACC2,C0201C0G330K500NTA,EYANG,"普通电容,Capacitor,33 pF,±10 %,50 V,C0G,0201,0.63×0.33×0.33 mm,C0201C0G330K500NTA,EYANG",26,"C4122,C4124,C4203,C4204,C4208,C4209,C4210,C4211,C4252,C4253,C4326,C4335,C4403,C4404,C4412,C4415,C4431,C4433,C4435,C4437,C4439,C5102,C4325,C3408,C4214,C4244",Capacitor,,1
114,ABA101KJACCX,ABA101KJACC2,C0201C0G101K500N,EYANG,"电容,Capacitor,100 pF,±10 %,50 V,C0G,0201,N/A,C0201C0G101K500N,EYANG",6,"C4223,C4248,C4319,C4110,C4236,C4247",Capacitor,,2
115,ABA102JJA0CX,ABA102JJA0C2,C0201X7R102J500N,EYANG,"普通电容,Capacitor,1 nF,±5 %,50 V,X7R,0201,N/A,C0201X7R102J500N,EYANG",12,"C4332,C4334,C4346,C4347,C4418,C4423,C4120,C3101,C4604,C4626,C4636,C4637",Capacitor,,
116,ABA473MEB0CX,ABA473MEB0C2,C0402X7R473M160N,EYANG,"普通电容,Capacitor,47 nF,±20 %,16 V,X7R,0402,1.05×0.55×0.55 mm,C0402X7R473M160N,EYANG",1,C3413,Capacitor,,
117,ABA104MCAXCX,ABA104MCA0C2,C0201X5R104M6R3NTAT,EYANG,"电容,Capacitor,100 nF,±20 %,6.3 V,X5R,0201,0.63×0.33×0.33 mm,C0201X5R104M6R3NTAT,EYANG",64,"C4101,C4102,C4103,C4104,C4105,C4425,C4429,C3403,C4502,C4503,C4504,C4505,C4506,C4507,C4508,C4509,C4510,C4512,C4513,C4514,C4516,C4519,C4520,C4525,C4527,C4528,C4529,C4531,C4532,C4533,C4534,C4538,C4542,C4543,C4545,C4546,C4548,C4549,C1301,C1302,C4705,C5950,C5951,C1401,C1615,C1621,C1622,C1626,C1631,C1632,C1641,C1703,C1722,C1732,C2133,C3102,C3308,C4115,C4116,C4117,C4318,C1501,C5911,C5912",Capacitor,,1
118,ABA105MCA0CX,ABA105MCA0C0,GRM033R60J105M,MURATA,"电容,Capacitor,1 uF,±20 %,6.3 V,X5R,0201,0.65×0.35×0.35 mm,GRM033R60J105M,MURATA",131,"C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1608,C1610,C1612,C1613,C1614,C1616,C1617,C1620,C1623,C1624,C1625,C1627,C1628,C1629,C1630,C1633,C1634,C1635,C1636,C1637,C1638,C1639,C1640,C1642,C1643,C1650,C1651,C1652,C1653,C1654,C1704,C1706,C1707,C1708,C1709,C1710,C1711,C1712,C1713,C1714,C1715,C1716,C1717,C1718,C1719,C1720,C1721,C1723,C1724,C1725,C1727,C1728,C1729,C1730,C1733,C1734,C1735,C1736,C1737,C1738,C1740,C1741,C2101,C2102,C2103,C2104,C2105,C2106,C2107,C2108,C2109,C2120,C2121,C2122,C2123,C2124,C2125,C2126,C2127,C2128,C2129,C2130,C2131,C2132,C3317,C3318,C3320,C3322,C3323,C3324,C3325,C3326,C3328,C3329,C3331,C3332,C3333,C4627,C4638,C3409,C4501,C4523,C4524,C4526,C4530,C4536,C4537,C5103,C5902,C5904,C5913,C1611,C1705,C1731,C3309,C4106,C4108,C4111,C4112,C4114,C4118,C4511,C4544,C4535",Capacitor,,
119,ABA225MCB0CX,ABA225MCB0C4,CL05A225MQ5NNNC,SAMSUNG,"电容,Multilayer Capacitor,2.2uF,±20%,6.3V,X5R,0402,,CL05A225MQ5NNNC,SAMSUNG,,",3,"C4218,C4233,C4701",Capacitor,,
120,ABA225MCAXDX,ABA225MCAXD9,GRM033R60J225ME47D,MURATA,"电容,Capacitor,2.2 uF,±20 %,6.3 V,X5R,0201,0.69×0.39×0.39 mm,GRM033R60J225ME47D,MURATA",2,"C1701,C1702",,,
121,ABA475MCB0CX,ABA475MCB0C0,GRM155R60J475ME87D,MURATA,"电容,Capacitor,4.7 uF,±20 %,6.3 V,X5R,0402,1.15×0.65×0.65 mm,GRM155R60J475ME87D,MURATA",15,"C4217,C4220,C4303,C4311,C4321,C4353,C4355,C3410,C3412,C3319,C3321,C4522,C4540,C4628,C4640",Capacitor,,
122,ABA106MCC0CX,ABA106MCC0C4,CL10A106MQ8NNNC,Samsung,"电容,Capacitor,10uF,±20%,6.3V,X5R,0603,CL10A106MQ8NNNC,Samsung,",8,"C3303,C3304,C3305,C3306,C3307,C3327,C3411,C5914",Capacitor,,
123,ABA106MCB0CX,ABA106MCB0C0,GRM155R60J106ME44,MURATA,"普通电容,Capacitor,10 uF,±20 %,6.3 V,X5R,0402,1.2×0.7×0.7 mm,GRM155R60J106ME44,MURATA",6,"C4107,C4304,C4308,C4547,C4113,C4119",Capacitor,,
124,ABA226MCC0CX,ABA226MCC0C0,GRM188R60J226MEA0L,MURATA,"电容,Capacitor,22 uF,±20 %,6.3 V,X5R,0603,1.8×1.0×1.0 mm,GRM188R60J226MEA0L,MURATA",28,"C3402,C3404,C3414,C3415,C3417,C4219,C4322,C4352,C4517,C4521,C4703,C5901,C5905,C5915,C2138,C3301,C3302,C3311,C3313,C3316,C3330,C3334,C3335,C3336,C3337,C3312,C3314,C3315",Capacitor,,
125,ARQ0020002CX,ARQ0020002C1,EVPAWB22AY08,PANASONIC,"侧键开关,Lateral Switch,2 PINs,3.00×2.00×0.60 mm,W/O POST+W/O DIP,N/A",1,K5102,Switch,,
126,ARQ0030007CX,ARQ0030007C1,EVPAKEC1A,PANASONIC,"侧键开关,Lateral Switch,3 PINs,3.90×2.05×1.60 mm,W/O POST+With DIP,Over PCB 3Dome",1,K5101,Switch,,
127,ARF0010007CX,ARF0010007C1,818010272,ECT,"天线弹片,Antenna spring,Over PCB,1 PINs,0 mm,3.0×1.5×1.5 mm,W/O POST+W/O DIP,N/A,818010272,ECT",16,"J4201,J4202,J4203,J4204,J4205,J4206,J4401,J4402,J4403,J4404,J4405,J4406,J4601,J4602,J4603,J4604",Spring,,
128,ARH0240004CX,ARH0240004C1,DX07S024JJ2,JAE,"TYPE C USB连接器,TYPE C USB Connector,Over PCB,24 PINs,0.27 mm,8.94×8.17×3.14 mm,With POST+With DIP,N/A,DX07S024JJ2,JAE",1,J5902,Connector,,
129,ARH0040024CX,ARH0040024C1,,GLGNET,"USB Connector,Over PCB,4 PINs,2 mm,15.0×14.5×8.65 mm,W/O POST+With DIP,GLGNET",1,J5901,Connector,,
130,ARD0060131CX,ARD0060131C1,03-062144R,LETCON,"Nano SIM卡连接器,Nano SIM Card Connector,With Bridge,6 PINs,2.54 mm,12.35×9.80×1.30 mm,W/O POST+W/O DIP,反插侦测Pin不触发,03-062144R,LETCON",1,J5101,Connector,,
131,ARE0040020CX,ARE0040020C1,KBC24S3H541R,KEIRAKU,"电池连接器,battery connector,Over PCB,4.0 PINs,3.1 mm,12.4x4.3xH5.4mm,With POST+W/O DIP,N/A,KBC24S3H541R,KEIRAKU",1,J3402,Connector,,
A131,#ARE0040021CX,ARE0040021C1,WKBAV006-G41P,JTCONN,"电池连接器,battery connector,Over PCB,4.0 PINs,3.1 mm,12.4x4.3xH5.4mm,With POST+W/O DIP,N/A,WKBAV006-G41P,JTCONN",1,J3402,Connector,,
132,ARF0060003CX,ARF0060003C1,ECT818000163,ECT,"RF连接器,RF switch,Over PCB,6.0 PINs,2.32 mm,2.5×2.5×H1.5mm,W/O POST+W/O DIP,N/A,ECT818000163,ECT",6,"J4207,J4208,J4407,J4408,J4605,J4606",Connector,,
133,BKC1M30004CX,BKC1M30004C1,,LAIMU,"WIFI Shielding,WIFI12,Tinplate,0.2 mm,27.85x10.6x1.45mm,Without Tape,LAIMU",1,SH6101,Shielding,,
134,BKB1M30001CX,BKB1M30001C1,,LAIMU,"BB Shielding,WIFI12,Tinplate,0.2 mm,50.85x28.1x1.45mm,Without Tape,LAIMU ",1,SH6102,Shielding,,
135,BKC1M30001CX,BKC1M30001C1,,LAIMU,"WTR3925 SHIELDING,WIFI12,Tinplate,0.2 mm,39.35x15.5x1.45 mm,Without Tape,LAIMU",1,SH6103,Shielding,,
136,BKC1M30002CX,BKC1M30002C1,,LAIMU,"CHARGE SHIELDING,WIFI12,Tinplate,0.2 mm,23.25X18.2X1.45 mm,Without Tape,LAIMU",1,SH6104,Shielding,,
137,BKC1M30003CX,BKC1M30003C1,,LAIMU,"WTR4905 SHIELDING,WIFI12,Tinplate,0.2 mm,18.65X16.4X1.45mm,Without Tape,LAIMU",1,SH6105,Shielding,,
138,BKA1M30000CX,BKA1M30000C1,,LAIMU,"RF_PA Shielding,WIFI12,Tinplate,0.15 mm,16.6x13.25x1.45 mm,Without Tape,LAIMU",1,SH6106,Shielding,,
139,BKB1M30000CX,BKB1M30000C1,,LAIMU,"BB_power Shielding,WIFI12,Tinplate,0.2 mm,22.5x11.2x1.45 mm,Without Tape,LAIMU",1,SH6107,Shielding,,
140,BKC1M30000CX,BKC1M30000C1,,LAIMU,"WIFI POWER SHIELDING,WIFI12,Tinplate,0.2 mm,22.5x10.4x1.45 mm,Without Tape,LAIMU",1,SH6108,Shielding,,
141,BKC1M30005CX,BKC1M30005C1,,LAIMU,"PMU shielding,WIFI12,0.20mm tinplate,0.20 mm,22.35×17.15×1.45 mm,Without Tape,LAIMU ",1,SH6110,Shielding,,
142,CPE0000004CX,CPE0000004C0,,,"PCBA标签纸,PCBA Label,,20×11mm,,,,,, ",1,,Label,,
<End>,,,,,,,,,,
