EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
42,AFB0000037CX,AFB0000037C1,A-SP194B1C-C01-4T,AMICC,"发光二极管,LED,Top view,Brilliant Blue,95 mW,N/A,0603,1.6×0.8×0.4 mm,25 mA,2.8-3.1 V,A-SP194B1C-C01-4T,AMICC",4,"LED5102,LED5103,LED5104,LED5106",LED
43,T1001371AAAA,TA05-T1001371AAAA,NCP15WF104F03RC,MURATA,"热敏电阻,Thermistor,100K ohm,±1 %,100 mW,0402,N/A,NCP15WF104F03RC,MURATA",1,R4304,NTC
43A,#AAC0104FB6CX,AAC0104FB6CB,SDNT1005X104F4250FTF,SUNLORD,"Chip NTC Thermistor,100K ohm,±1 %,1/10 W,0402,1.0×0.5×0.5 mm,SDNT1005X104F4250FTF,SUNLORD",1,R4304,NTC
44,AAA0000JD0CX,AAA0000JD0C1,RS-05000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/8 W,0805(T=0.5 mm),2.2×1.4×0.6 mm,RS-05000JT,FENGHUA",2,"R3419,R3406",Resistor
45,AAA0000JC6CX,AAA0000FC6C1,RS-03000FT,FENGHUA,普通电阻 Resistor 0 ohm ±1 % 1/10 W 0603 1.75×0.95×0.5 mm RS-03000FT FENGHUA,3,"R4704,R5914,R4307",Resistor
45A,#AAA0000JC0CX,AAA0000JC0C1,RS-03000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/10 W,0603,1.75×0.95×0.5 mm,RS-03000JT,FENGHUA",3,"R4704,R5914,R4307",Resistor
45A,#AAA0000JC0CX,AAA0000JC0C2,RC0603JR-070RL,YAGEO,"电阻,Resistor,0 ohm,±5 %,1/10 W,0603,1.7×0.9×0.55 mm,RC0603JR-070RL,YAGEO",3,"R4704,R5914,R4307",Resistor
46,AAA0000JB0CX,AAA0000JB0C1,RC-02000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/16 W,0402,N/A,RC-02000JT,FENGHUA",6,"R3301,R3302,R3304,R4107,R4501,R4502",Resistor
47,AAA0000JA0CX,AAA0000JA0C1,RC-01000JT,FENGHUA,"电阻,Resistor,0 ohm,±5 %,1/20 W,0201,N/A,RC-01000JT,FENGHUA",93,"R1204,R1205,R1221,R1702,R1704,R3203,R3204,R3209,R3303,R3305,R4108,R4109,R4110,R6100,R6101,R6102,R6103,R6104,R6105,R6106,R6107,R3402,R3403,R4503,R4504,R4505,R4506,R4507,R4515,R4519,R4520,R4533,R4534,R4535,R4536,R5120,R5905,R5950,R5951,R5952,R5953,R4101,R4102,R4103,R4104,R4105,R4201,R4202,R4203,R4204,R4206,R4208,R4209,R4210,R4211,R4212,R4213,R4309,R4310,R4312,R4313,R4315,R4316,R4319,R4401,R4402,R4403,R4404,R4405,R4409,R4411,R4412,R4416,R4418,R4702,R4601,R4605,R4606,R4613,R4614,C4343,L4604,C4602,L4620,C4607,C4632,C4610,C4611,L4614,L4621,C4643,C4642,C4620",Resistor
48,AAA0510FA0CX,AAA0510FA0C1,RC-01W510FT,FENGHUA,"电阻,Resistor,51 ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W510FT,FENGHUA ",2,"R4603,R4607",Resistor
49,AAA0201FA0CX,AAA0201FA0C1,RC-01W201FT,FENGHUA,"电阻,Resistor,200 ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W201FT,FENGHUA",6,"R5108,R5109,R5110,R5111,R5112,R5113",
50,AAA0241FA0CX,AAA0241FA0C1,RC-01W241FT,FENGHUA,"电阻,Resistor,240 ohm,±1 %,1/20 W,0201,N/A,RC-01W241FT,FENGHUA",2,"R1501,R2101",Resistor
51,AAA0102JA0CX,AAA0102JA0C1,RC-01W102JT,FENGHUA,"电阻,Resistor,1K ohm,±5 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W102JT,FENGHUA",2,"R5114,R5115",Resistor
52,AAA1431FA0CX,  AAA1431FA0C1,RC-01W1431FT,FENGHUA,"电阻,Resistor,1.43K ohm,±1 %,1/20 W,0201,N/A,RC-01W1431FT,FENGHUA",2,"R1303,R1304",Resistor
53,AAA0222JA0CX,AAA0222JA0C1,RC-01W222JT,FENGHUA,"电阻,Resistor,2.2K ohm,±5 %,1/20 W,0201,N/A,RC-01W222JT,FENGHUA",2,"R1201,R1202",Resistor
54,AAA4021FA0CX,AAA4021FA0C1,RC-01W4021FT,FENGHUA,"电阻,Resistor,4.02K ohm,±1 %,1/20 W,0201,0.65×0.35×0.28 mm,RC-01W4021FT,FENGHUA",1,R1302,Resistor
55,AAA0682FA0CX,AAA0682FA0C1,RC-01W682FT,FENGHUA,"电阻,Resistor,6.8K ohm,±1 %,1/20 W,0201,N/A,RC-01W682FT,FENGHUA",1,R5912,Resistor
56,AAA0103JA0CX,AAA0103JA0C1,RC-01W103JT,FENGHUA,"电阻,Resistor,10K ohm,±5 %,1/20 W,0201,N/A,RC-01W103JT,FENGHUA",20,"R3221,R4508,R4512,R4513,R4514,R3411,R3413,R3415,R3416,R3417,R5107,R5908,R5910,R3408,R2102,R2103,R1213,R1216,R1218,R1220",Resistor
